Status,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,ninteen,twenty,twenty-one,twenty-two,twenty-three,twenty-four,
EV1,Nothing,Nothing,Nothing,Nothing,Charge,Delivery,Charge,Delivery,Nothing,Nothing,Delivery,Charge,Nothing,Delivery,Charge,Delivery,Nothing,Nothing,Delivery,Nothing,Nothing,Nothing,Charge,Delivery,
EV2,Nothing,Nothing,Charge,Nothing,Nothing,Nothing,Delivery,Charge,Delivery,Nothing,Delivery,Charge,Nothing,Delivery,Charge,Delivery,Delivery,Charge,Delivery,Nothing,Nothing,Nothing,Nothing,Nothing,
EV3,Nothing,Nothing,Nothing,Nothing,Charge,Delivery,Charge,Nothing,Delivery,Nothing,Nothing,Delivery,Charge,Nothing,Delivery,Charge,Delivery,Delivery,Charge,Delivery,Nothing,Nothing,Nothing,Nothing,
EV4,Charge,Delivery,Nothing,Nothing,Charge,Nothing,Delivery,Nothing,Nothing,Delivery,Charge,Nothing,Delivery,Charge,Nothing,Nothing,Delivery,Nothing,Nothing,Delivery,Nothing,Nothing,Nothing,Charge,
EV5,Nothing,Nothing,Nothing,Nothing,Charge,Nothing,Delivery,Charge,Nothing,Delivery,Nothing,Nothing,Delivery,Nothing,Charge,Nothing,Delivery,Charge,Nothing,Nothing,Delivery,Nothing,Nothing,Nothing,
EV6,Nothing,Nothing,Charge,Delivery,Charge,Nothing,Nothing,Delivery,Nothing,Delivery,Charge,Nothing,Nothing,Nothing,Delivery,Charge,Delivery,Nothing,Nothing,Nothing,Nothing,Delivery,Nothing,Charge,
EV7,Nothing,Nothing,Nothing,Nothing,Charge,Nothing,Nothing,Delivery,Charge,Nothing,Delivery,Nothing,Nothing,Nothing,Delivery,Charge,Nothing,Delivery,Nothing,Nothing,Nothing,Charge,Delivery,Nothing,
EV8,Nothing,Nothing,Nothing,Nothing,Nothing,Charge,Nothing,Delivery,Charge,Delivery,Nothing,Delivery,Charge,Nothing,Nothing,Delivery,Charge,Delivery,Delivery,Nothing,Nothing,Nothing,Nothing,Charge,
EV9,Nothing,Nothing,Charge,Nothing,Nothing,Nothing,Nothing,Delivery,Nothing,Charge,Nothing,Nothing,Nothing,Delivery,Nothing,Nothing,Delivery,Charge,Nothing,Delivery,Nothing,Nothing,Nothing,Nothing,
EV10,Nothing,Nothing,Charge,Delivery,Nothing,Charge,Nothing,Nothing,Delivery,Nothing,Delivery,Charge,Nothing,Delivery,Charge,Delivery,Delivery,Charge,Delivery,Charge,Delivery,Nothing,Nothing,Nothing,
EV11,Charge,Nothing,Delivery,Charge,Nothing,Nothing,Nothing,Nothing,Delivery,Nothing,Nothing,Nothing,Nothing,Nothing,Delivery,Charge,Nothing,Delivery,Nothing,Nothing,Charge,Delivery,Nothing,Nothing,
EV12,Charge,Nothing,Delivery,Charge,Nothing,Nothing,Nothing,Nothing,Delivery,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Delivery,Charge,Delivery,Charge,Delivery,Nothing,Nothing,Delivery,Charge,

SOC,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,ninteen,twenty,twenty-one,twenty-two,twenty-three,twenty-four,
EV1,40,40,40,40,68.5,48.5,77,57,57,57,37,65.5,65.5,45.5,74,54,54,54,34,34,34,34,62.5,42.5,
EV2,40,40,68.5,68.5,68.5,68.5,48.5,77,57,57,37,65.5,65.5,45.5,74,54,34,62.5,42.5,42.5,42.5,42.5,42.5,42.5,
EV3,40,40,40,40,68.5,48.5,77,77,57,57,57,37,65.5,65.5,45.5,74,54,34,62.5,42.5,42.5,42.5,42.5,42.5,
EV4,68.5,48.5,48.5,48.5,77,77,57,57,57,37,65.5,65.5,45.5,74,74,74,54,54,54,34,34,34,34,62.5,
EV5,40,40,40,40,68.5,68.5,48.5,77,77,57,57,57,37,37,65.5,65.5,45.5,74,74,74,54,54,54,54,
EV6,40,40,68.5,48.5,77,77,77,57,57,37,65.5,65.5,65.5,65.5,45.5,74,54,54,54,54,54,34,34,62.5,
EV7,40,40,40,40,68.5,68.5,68.5,48.5,77,77,57,57,57,57,37,65.5,65.5,45.5,45.5,45.5,45.5,74,54,54,
EV8,40,40,40,40,40,68.5,68.5,48.5,77,57,57,37,65.5,65.5,65.5,45.5,74,54,34,34,34,34,34,62.5,
EV9,40,40,68.5,68.5,68.5,68.5,68.5,48.5,48.5,77,77,77,77,57,57,57,37,65.5,65.5,45.5,45.5,45.5,45.5,45.5,
EV10,40,40,68.5,48.5,48.5,77,77,77,57,57,37,65.5,65.5,45.5,74,54,34,62.5,42.5,71,51,51,51,51,
EV11,68.5,68.5,48.5,77,77,77,77,77,57,57,57,57,57,57,37,65.5,65.5,45.5,45.5,45.5,74,54,54,54,
EV12,68.5,68.5,48.5,77,77,77,77,77,57,57,57,57,57,57,57,37,65.5,45.5,74,54,54,54,34,62.5,
